seqname,tax_id
587131,o__WD2101
587132,c__Betaproteobacteria
237523,o__Acidimicrobiales
4356914,o__Bacteroidales
587139,o__DRC31
549939,f__Francisellaceae
584444,f__wb1_P06
2172303,f__Colwelliaceae
533393,o__Phycisphaerales
533392,f__Saprospiraceae
1144393,g__Arcobacter
4238463,g__Spirochaeta
3634427,o__Bacteroidales
4446083,c__MCG
1042479,s__melaninogenica
258946,g__Oscillospira
4446086,c__Alphaproteobacteria
4308528,g__Desulfotomaculum
256127,o__Rhizobiales
256121,f__Oxalobacteraceae
4308523,g__Geobacter
4308522,o__Bacteroidales
4308526,o__Bacteroidales
290485,o__Clostridiales
4419621,g__Sutterella
805542,f__ACK-M1
4424924,g__Shuttleworthia
1105085,s__biprosthecium
805261,f__Succinivibrionaceae
4424925,g__Niabella
655619,s__maritimus
4357471,c__Deltaproteobacteria
3807364,g__Candidatus_Phytoplasma
1141414,f__Chromatiaceae
1141418,g__Tenacibaculum
242145,g__Gemmata
433880,f__Holophagaceae
242142,f__OM27
242141,g__Paludibacter
433883,f__Nocardioidaceae
303233,g__Devosia
303239,g__Leuconostoc
27616,f__[Mogibacteriaceae]
2416148,f__Desulfobulbaceae
4440065,f__Ignavibacteriaceae
4447936,f__Helicobacteraceae
314419,o__Bacteroidales
4447934,f__Helicobacteraceae
4447932,f__Lachnospiraceae
4447933,f__Helicobacteraceae
4447930,f__Helicobacteraceae
630008,p__SBR1093
174680,f__Lachnospiraceae
4397252,o__A-2AF
263179,s__gnavus
174683,f__Lachnospiraceae
4397257,g__Candidatus_Cloacamonas
174686,o__Clostridiales
238871,f__Halobacteriaceae
174688,g__Clostridium
263171,o__Clostridiales
4397258,f__Ellin6075
4464810,f__Gaiellaceae
359105,s__muciniphila
737110,f__Xanthomonadaceae
4477870,f__[Chlorothrixaceae]
4402610,g__Butyricimonas
4477876,f__Rhodobacteraceae
1137375,f__Clostridiaceae
4474780,f__Haliangiaceae
4474787,c__Gammaproteobacteria
828136,f__Pelagibacteraceae
4409730,f__Peptostreptococcaceae
4474788,o__S0208
4445574,g__Fusobacterium
564849,g__[Ruminococcus]
92262,f__Actinomycetaceae
92263,g__Selenomonas
2463703,o__AKAU3564
4350982,f__Syntrophaceae
746436,g__Sphingomonas
288687,f__Flammeovirgaceae
288682,f__Lachnospiraceae
288683,f__Coriobacteriaceae
4350988,c__B04R032
288681,f__Bacteroidaceae
223202,c__C0119
374923,c__VC2_1_Bac22
570826,g__Mariprofundus
223206,g__Dokdonella
223209,g__ZD0117
513510,c__OPB56
1119473,g__Loktanella
1119470,o__Acidimicrobiales
697769,f__Acidobacteriaceae
1119477,f__kpj58rc
163061,g__Shewanella
523051,f__Rikenellaceae
4364733,f__Pirellulaceae
192226,g__[Ruminococcus]
192227,g__Comamonas
192224,c__ZB2
107898,g__Cupriavidus
192222,f__Prevotellaceae
192221,f__Lachnospiraceae
26566,f__Rhodospirillaceae
1108912,o__Ellin5290
192228,f__Lachnospiraceae
4410244,s__histrix
1094828,g__Hymenobacter
4297214,o__PK329
621303,s__phragmitetus
179593,g__Blautia
617348,o__A89
277901,f__Aquificaceae
423455,f__S24-7
617346,f__Christensenellaceae
1685009,f__Thermodesulfobacteriaceae
150160,o__Solibacterales
267505,f__Ruminococcaceae
267502,o__Clostridiales
4444622,c__S085
267500,f__Rhodocyclaceae
250568,c__Alphaproteobacteria
3586851,o__OPB11
4400617,o__PeHg47
4400615,g__Flavisolibacter
1015518,g__Corynebacterium
4327501,g__Pseudomonas
289799,g__Arthrobacter
572089,o__Cardiobacteriales
567307,f__EB1003
2961055,g__Geobacillus
182522,o__Clostridiales
266452,o__Clostridiales
4379957,g__Roseburia
925707,f__Gemellaceae
730661,f__Chitinophagaceae
2398439,o__Clostridiales
279501,f__Flavobacteriaceae
266459,f__Nostocaceae
292255,o__Clostridiales
579960,g__Treponema
761968,f__Ruminococcaceae
4405133,f__Saprospiraceae
683458,o__Sphingomonadales
4027691,g__Methanoculleus
2795122,f__Lachnospiraceae
670399,f__Chitinophagaceae
222559,o__WD2101
1107640,o__Nostocales
4356131,s__mobilis
4431627,f__Desulfobacteraceae
562878,g__Idiomarina
562870,g__Paludibacter
3017479,c__Chloroplast
831767,f__MSBL1
3308422,f__Rhodobacteraceae
581168,g__TG5
4440018,g__Weissella
535138,f__Pseudomonadaceae
250382,g__Desulfococcus
535135,o__Methylococcales
227002,c__Gemm-3
227000,g__Shuttleworthia
309428,s__meridiei
534841,g__Candidatus_Endobugula
1105860,g__Allobaculum
1105862,o__Thermomicrobiales
534845,c__Alphaproteobacteria
309422,f__Rhodospirillaceae
3438642,g__[Ruminococcus]
301218,o__Clostridiales
560652,f__SB-1
357200,o__Chromatiales
525171,g__Bdellovibrio
330905,g__PSB-M-3
146310,g__Candidatus_Cardinium
357208,f__Propionibacteriaceae
330903,c__SBRH58
330902,o__Burkholderiales
351693,o__Phycisphaerales
351698,o__Clostridiales
340730,c__Alphaproteobacteria
205771,f__oc28
4443197,o__Chromatiales
1032841,g__Actinomyces
343273,s__salmoninarum
349656,f__Ruminococcaceae
349658,f__RFP12
4267879,c__BD4-9
191145,f__Oxalobacteraceae
171079,g__Ruminococcus
4212309,f__ANME-2a-2b
1079792,f__Gemmataceae
191148,f__Ruminococcaceae
4415360,f__Koribacteraceae
727545,o__OPB11
4415366,o__WD2101
509640,g__Geobacter
1106515,g__Mariprofundus
1106514,p__Chloroflexi
297914,o__Bacteroidales
3239359,g__Crenothrix
265102,g__YRC22
265106,g__Adlercreutzia
15708,f__Anaeroplasmataceae
4447546,o__CL500-15
4447545,c__Elusimicrobia
534265,g__Mycobacterium
4328851,k__Bacteria
102361,o__A31
15700,o__RF39
940433,f__S24-7
15704,c__Mollicutes
6817,o__Methylophilales
517583,f__Lachnospiraceae
3466729,f__[Tissierellaceae]
3631907,f__Dethiosulfovibrionaceae
2273344,o__OPB54
2273345,g__Syntrophomonas
2273342,c__SHA-26
2273343,o__SHA-20
2273341,g__T78
564025,f__Micromonosporaceae
3466726,o__Clostridiales
302746,f__Lachnospiraceae
269732,f__BS11
737941,f__SB-1
4456091,g__Fusobacterium
187418,g__Riemerella
187417,g__Robiginitalea
899275,o__Bacteroidales
1562631,f__Vibrionaceae
4347498,c__Gammaproteobacteria
4347499,o__MSBL9
4347494,g__Gemmata
4347495,f__Gemmataceae
4347492,g__Gloeobacter
341069,g__Arthrobacter
334113,o__iii1-15
334110,f__Alcaligenaceae
4340148,o__YS2
543377,o__mle1-8
278970,f__PAUC26f
4340147,f__[Tissierellaceae]
4340146,f__Comamonadaceae
4323718,g__Comamonas
4415984,f__Spirochaetaceae
1120752,f__211ds20
4415986,f__Spirochaetaceae
4415987,f__Spirochaetaceae
4415980,p__NKB19
4415981,c__Gemm-3
4415982,c__Gemm-2
4415983,c__Gemm-5
344726,f__Lachnospiraceae
137183,g__Gardnerella
298641,f__Clostridiaceae
344725,f__RF16
4415988,c__PRR-11
4415989,g__Desulfococcus
136857,o__Bacteroidales
142346,g__Rhizobium
2820255,f__Lachnospiraceae
531721,g__RFN20
531722,g__Bacteroides
808200,g__Syntrophomonas
3645911,f__Chitinophagaceae
808202,g__Aerococcus
808203,g__Comamonas
157246,o__Clostridiales
88989,o__MLE1-12
822693,f__ACK-M1
331697,f__Enterobacteriaceae
331690,f__Oxalobacteraceae
565774,g__Paludibacter
934169,f__Neisseriaceae
108101,g__Spirochaeta
3927146,o__Spirobacillales
565779,o__Bacteroidales
4484176,f__Microbacteriaceae
170130,f__Comamonadaceae
161007,g__Bacteroides
4453317,s__floridus
4453316,s__grandifolia
4311464,g__Geobacter
591734,f__Ruminococcaceae
4453318,s__robusta
2570980,s__prausnitzii
3460762,o__CCU21
268462,f__Lachnospiraceae
621516,g__Prevotella
169927,g__Lawsonia
169921,s__kujiense
1132546,g__Fluviicola
4461154,f__SBYG_4172
4461155,o__Bacteroidales
4461156,o__Clostridiales
4461157,g__Desulfotomaculum
1829647,c__ODP123
562096,g__Clostridium
2354181,f__Veillonellaceae
980525,o__Solirubrobacterales
3036442,o__iii1-15
549197,o__BPC076
2936049,g__Actinomyces
2936048,g__p-75-a5
2936045,g__Acholeplasma
1047075,f__Nocardioidaceae
299516,g__Leuconostoc
183413,f__Lachnospiraceae
143437,o__Rickettsiales
143436,f__Myxococcaceae
1909053,o__Solibacterales
339445,f__Pelagibacteraceae
183414,f__Lachnospiraceae
374557,o__Clostridiales
183419,s__producta
529180,g__Coprococcus
529182,g__Tessaracoccus
3833899,o__Bacteroidales
180141,g__Bacteroides
1765402,g__Lactobacillus
833408,f__Aeromonadaceae
1124721,g__Euzebya
547817,g__Prevotella
1124727,f__Desulfobacteraceae
313870,f__Ruminococcaceae
2038051,p__NKB19
132661,s__cecorum
132662,g__Streptomyces
548493,g__Prevotella
188772,g__Sediminibacterium
712491,g__Flavobacterium
109275,f__Desulfobulbaceae
109274,g__Geobacter
109277,f__Bacteriovoracaceae
511329,c__Gammaproteobacteria
109271,f__Piscirickettsiaceae
109270,f__Piscirickettsiaceae
109273,f__Desulfobulbaceae
109272,f__Desulfobulbaceae
511320,f__Chitinophagaceae
511321,g__Devosia
109279,g__Desulfococcus
511324,g__Streptomyces
177483,f__Oceanospirillaceae
4314577,c__Anaerolineae
527581,f__JTB38
4310735,f__JdFBGBact
4310734,f__Rhodothermaceae
206817,f__S24-7
177484,f__Veillonellaceae
813735,f__Xenococcaceae
614663,p__WS1
614662,c__OP8_2
710432,g__Peptococcus
849092,f__Cytophagaceae
218096,g__Salinibacter
864607,g__Candidatus_Portiera
218095,s__leguminosarum
713264,f__JTB36
235963,o__SJA-15
218098,f__p-2534-18B5
1082294,g__Streptococcus
235962,g__pMC1A4
652645,c__OP11-1
95791,f__[Mogibacteriaceae]
680397,p__FBP
1135042,g__Butyricimonas
314284,f__S24-7
4375222,f__Xanthomonadaceae
1625694,o__Legionellales
4460404,s__melaninogenica
1625696,f__Comamonadaceae
107282,p__GOUTA4
537183,f__Dehalococcoidaceae
4342167,f__A4b
4342166,f__Micrococcaceae
4450831,o__iii1-15
3815513,g__Spirochaeta
537188,g__Nitrosopumilus
325329,f__Lachnospiraceae
4399059,f__Spirochaetaceae
515517,f__Desulfobulbaceae
515511,g__Clostridium
325326,f__Peptostreptococcaceae
205397,c__Alphaproteobacteria
366176,c__Alphaproteobacteria
205391,o__Solibacterales
4437024,g__Streptococcus
813192,f__Verrucomicrobiaceae
813195,f__Verrucomicrobiaceae
3831498,f__Phycisphaeraceae
261971,g__Candidatus_Portiera
4439113,f__[Marinicellaceae]
1141158,c__BD7-11
4332997,k__Bacteria
4335676,f__Chitinophagaceae
4335672,f__Xanthomonadaceae
2486312,f__Flavobacteriaceae
4396557,g__Puniceicoccus
568498,o__ArcA07
583837,p__GN02
583838,o__Clostridiales
826668,g__Methanosaeta
1041071,o__Desulfuromonadales
4303234,f__Ruminococcaceae
703731,f__Lachnospiraceae
4303237,g__Prevotella
4303231,f__Desulfobulbaceae
1863620,f__Rhodospirillaceae
821579,f__Oxalobacteraceae
555343,f__Legionellaceae
555348,c__Pla3
203941,o__WCHB1-50
1808628,f__Porphyromonadaceae
821570,c__Gemm-1
2963236,o__AKIW781
4423773,f__SBYG_4172
135946,f__Micromonosporaceae
135947,g__Coprococcus
4423776,f__SBYG_4172
4423777,f__SBYG_4172
4423774,g__Geobacter
4423775,f__Ruminococcaceae
4423778,s__meridiei
4423779,c__OPB41
85675,g__Paenibacillus
322678,o__Clostridiales
556609,f__Pseudanabaenaceae
1117094,f__Chitinophagaceae
353261,f__C111
4383412,c__Verruco-5
4383413,o__WCHB1-41
556603,f__Pirellulaceae
556604,g__Butyrivibrio
1137140,o__IIb
546794,c__ABY1
281078,f__KSB4
1512588,c__Betaproteobacteria
38561,f__Pseudanabaenaceae
38560,o__SHA-20
548723,s__thermotolerans
249525,f__Aeromonadaceae
4333486,f__Syntrophorhabdaceae
38566,s__bacteriovorus
320298,g__Cyanothece
4435010,c__Clostridia
4328106,f__SBYG_4172
1140682,p__WPS-2
70137,o__Clostridiales
540133,g__Hylemonella
320297,g__Sphingomonas
364155,g__Kaistobacter
236907,f__Acidobacteriaceae
1062012,c__OPB50
849264,g__Symbiobacterium
4434599,o__TG3-1
2973395,g__Gemella
538728,o__Acidimicrobiales
742358,f__Coriobacteriaceae
246200,f__Ktedonobacteraceae
4370301,s__flexus
1696607,s__gnavus
237058,o__Solibacterales
175241,g__Oscillospira
2816796,f__Pirellulaceae
587489,f__Ulvophyceae
364109,g__Blautia
300870,f__Ruminococcaceae
300877,g__[Ruminococcus]
300879,g__Prevotella
4422420,f__Nitrospiraceae
575478,f__Desulfobulbaceae
2881604,f__[Thermodesulfovibrionaceae]
2881600,o__Dehalococcoidales
2881601,f__Dehalococcoidaceae
2881602,o__envOPS12
828557,f__Sphingobacteriaceae
2596946,c__MSBL6
3383663,g__Oscillospira
296577,f__Ruminococcaceae
296576,g__CF231
4412015,o__Sva0725
272800,g__Prevotella
1042795,o__Acholeplasmatales
266120,o__Clostridiales
530195,g__Desulfococcus
4473376,f__Spirochaetaceae
785554,c__PRR-11
538662,f__BA008
591285,s__longum
417361,f__Nocardioidaceae
322202,o__S0208
417366,f__Methylocystaceae
4158888,o__RB41
4322377,c__Deltaproteobacteria
4322378,f__Gaiellaceae
4322379,g__Coprococcus
8035,s__thermophilus
398192,g__[Prevotella]
259527,f__Peptostreptococcaceae
151317,f__Planococcaceae
8039,p__Proteobacteria
3640585,o__p04_C01
585228,f__Rhodospirillaceae
878648,c__SJA-4
356529,g__Lactobacillus
585220,g__cc_115
585221,f__Oxalobacteraceae
1818527,g__Streptomyces
585227,g__Oscillospira
3562948,f__Trebouxiophyceae
4368675,f__Ruminococcaceae
44910,f__Pirellulaceae
356864,f__Enterobacteriaceae
4321489,f__PAUC26f
4470612,g__Haemophilus
242437,g__Clavibacter
1891666,o__Myxococcales
226506,f__Koribacteraceae
82965,g__Prevotella
4042455,c__SBRH58
226508,g__Devosia
242439,o__MBA08
158718,g__Prevotella
324696,o__Clostridiales
127534,g__Spirosoma
213189,o__HOC36
653931,c__P2-11E
4468031,f__Pelagibacteraceae
4468039,g__Alkaliphilus
139055,f__Microbacteriaceae
4424063,s__formicigenerans
354403,f__Coxiellaceae
354401,f__Cryomorphaceae
580768,o__SBla14
2912147,c__Alphaproteobacteria
13986,f__Lachnospiraceae
154843,f__Desulfobacteraceae
154845,g__Ralstonia
13983,g__Butyrivibrio
4374096,o__Solibacterales
2232179,o__Solibacterales
3112242,g__Paludibacter
631220,o__Phycisphaerales
3112245,f__Desulfobacteraceae
261043,g__Amphritea
4401857,g__Dickeya
318076,o__Acidimicrobiales
241317,g__Agrobacterium
241315,g__Rhodoplanes
632751,o__0319-7L14
350273,f__Ruminococcaceae
843454,f__Lachnospiraceae
192142,g__Arcanobacterium
1108984,c__Alphaproteobacteria
843459,f__Clostridiaceae
4320991,g__Tissierella_Soehngenia
3116097,o__Legionellales
16002,o__Clostridiales
16003,o__Clostridiales
16000,o__Clostridiales
16001,f__Ruminococcaceae
16006,o__Clostridiales
625825,c__SJA-28
4326132,g__Ruminococcus
5860,g__Hyphomonas
4326130,g__Flavobacterium
312923,o__IIb
4378519,f__Lachnospiraceae
570714,g__Oxobacter
17356,f__Nitrosomonadaceae
4358421,f__[Chlorothrixaceae]
1001007,s__aureus
60257,g__Prevotella
192058,g__Oscillospira
828419,f__Acetobacteraceae
364903,g__Bacteroides
235027,f__Ignavibacteriaceae
235024,f__Enterobacteriaceae
305512,g__Methanomassiliicoccus
2427666,o__Alteromonadales
4294451,g__Geobacter
4294450,f__SBYG_4172
4294457,s__mucilaginosa
199002,c__Deltaproteobacteria
4313719,f__Rhodobacteraceae
830355,f__Flammeovirgaceae
732358,c__MCG
581412,f__Enterobacteriaceae
3736962,g__Coprococcus
1609478,c__Planctomycetia
4354885,s__tannerae
1609472,p__Acidobacteria
240992,g__Bacteroides
1609471,p__KSB3
2423305,f__Coriobacteriaceae
153109,g__Moorella
1609474,f__Haliangiaceae
2234,g__Blattabacterium
1044796,s__epidermidis
2595968,c__SJA-4
587812,g__Pseudomonas
260316,o__Elusimicrobiales
4356039,f__Desulfobacteraceae
215176,f__Flammeovirgaceae
148429,c__Deltaproteobacteria
260311,f__Dehalococcoidaceae
195494,f__Ruminococcaceae
195495,g__Blautia
300041,f__Ruminococcaceae
842326,g__Halorhabdus
3566752,g__Spirochaeta
300045,s__perfringens
152859,f__Enterobacteriaceae
251145,f__FFCH7168
580286,g__Prevotella
323154,f__Lachnospiraceae
323155,o__Clostridiales
323152,g__Francisella
559320,o__Oceanospirillales
1009254,g__Sphaerisporangium
806378,f__Koribacteraceae
4329845,g__Bacillus
559328,f__Rhodobacteraceae
518474,g__Legionella
4457438,f__Lachnospiraceae
911808,g__Streptococcus
518471,s__succinus
162570,g__Pseudomonas
350891,f__Ruminococcaceae
427159,f__Ruminococcaceae
276810,o__Clostridiales
303584,f__Ruminococcaceae
2626017,o__PBS-III-9
510265,o__iii1-15
3929437,g__Spirochaeta
357329,o__SM2F09
4404577,g__Peptostreptococcus
4404575,o__Clostridiales
1139892,g__Shewanella
4324196,g__[Prevotella]
1139897,g__Ruminococcus
63781,p__LD1
80387,g__Psychromonas
198176,f__Lachnospiraceae
63782,o__Sediment-1
63785,p__LD1
63784,f__LD1-PA34
63786,c__PRR-11
672800,c__S085
556986,f__Porphyromonadaceae
672806,s__boronitolerans
236597,o__SM1D11
3016239,f__Enterobacteriaceae
4391330,f__Ignavibacteriaceae
2119810,f__Desulfobacteraceae
190786,f__Marine_group_II
167899,f__Flavobacteriaceae
90125,f__Anaerobaculaceae
167895,o__Legionellales
295061,f__RFP12
368134,g__Staphylococcus
845058,f__Caulobacteraceae
4202871,g__SJA-88
152278,o__Clostridiales
4459003,f__RB40
8864,f__Colwelliaceae
1032520,o__RB41
806991,f__Succinivibrionaceae
4300017,o__Bacteroidales
4300016,f__Piscirickettsiaceae
513057,f__Christensenellaceae
1086274,f__Pasteurellaceae
190879,c__Gemm-2
519873,f__Actinomycetaceae
708264,s__marincola
4248172,c__Gemm-2
4248175,f__OM60
4439571,f__Rickettsiaceae
4248177,o__SHA-43
4248176,f__Rhodospirillaceae
4248179,c__PRR-11
4483751,o__R76-B128
542919,f__PAUC26f
4309574,p__Bacteroidetes
4309577,g__Crenothrix
575557,f__Erysipelotrichaceae
335527,o__Clostridiales
827773,o__Cryptophyta
982266,g__Rheinheimera
827771,c__4C0d-2
466275,g__Bacillus
1035283,o__Bacteroidales
264560,f__Methylophilaceae
3643988,g__Halochromatium
4282096,o__Bacillales
4480529,g__Dorea
797550,f__Helicobacteraceae
3491682,g__Alcanivorax
263036,g__Clostridium
263035,c__Pla4
1108030,c__Gemm-3
4397599,c__Thermoleophilia
4446168,o__Lentisphaerales
168543,o__Rhizobiales
168541,f__Lachnospiraceae
168547,f__Syntrophobacteraceae
4397596,o__Phycisphaerales
4402139,f__Legionellaceae
1136701,g__Skermanella
262927,o__Clostridiales
533217,c__Gammaproteobacteria
4402133,c__SJA-4
144620,c__Chloroplast
4377639,f__mb2424
179460,f__Lachnospiraceae
144625,s__salaria
179464,f__S24-7
751725,g__Pseudomonas
4301766,g__Niabella
832440,f__Dehalococcoidaceae
4301760,f__Xanthomonadaceae
4301761,f__Ectothiorhodospiraceae
4301762,f__Piscirickettsiaceae
4301763,o__Chromatiales
178735,g__Adlercreutzia
145578,g__Catellatospora
178738,f__Clostridiaceae
385416,f__ANME-2D
145574,g__Thauera
145575,g__Blautia
145572,o__Clostridiales
539915,f__Oxalobacteraceae
280538,f__CCA47
4482800,g__Desulfovibrio
197250,f__Ruminococcaceae
235311,g__HTCC
1118660,g__Streptomyces
2414856,o__Streptophyta
4417074,o__LG048
3269222,o__Bacteroidales
540516,o__E2
1119399,p__WS1
1864498,g__Paenibacillus
540513,c__Alphaproteobacteria
540510,g__Flavisolibacter
4297391,g__Phycicoccus
4297395,f__Gracilibacteraceae
4297394,f__[Acidaminobacteraceae]
4297396,g__KD1-23
882028,f__Methylocystaceae
4402791,f__Cyclobacteriaceae
956988,g__Geobacter
524725,g__Atopobium
4402797,s__polyphaga
504492,g__Corynebacterium
956982,g__[Prevotella]
253178,f__Piscirickettsiaceae
351309,o__Clostridiales
150828,s__endophyticus
308055,f__Lachnospiraceae
351300,o__Bacteroidales
308057,o__Clostridiales
594080,f__Rhodobacteraceae
594081,g__Flavobacterium
253176,f__OM60
594083,o__E29
3072386,o__Rhizobiales
4454318,g__Bacillus
4454311,o__Phycisphaerales
4454317,o__Bacillales
3072388,o__Myxococcales
1105544,g__Gallionella
266556,f__Ruminococcaceae
74052,f__Desulfobulbaceae
266552,f__Ruminococcaceae
1106085,g__Candidatus_Scalindua
266551,c__OP8_1
760955,o__CCU21
1106088,c__Gemm-5
266558,g__Trichococcus
1146677,f__CV106
581779,g__Thiothrix
198998,o__Clostridiales
4317875,g__Hydrogenophilus
198990,g__Blautia
3836603,f__Legionellaceae
4357146,f__Ruminococcaceae
3549278,f__Flavobacteriaceae
4357142,f__Porphyromonadaceae
196125,s__prausnitzii
761024,f__Neisseriaceae
570170,f__Pirellulaceae
196123,g__Bdellovibrio
196122,o__Clostridiales
539305,f__Moraxellaceae
221501,g__T78
4307355,g__Haemophilus
672431,g__Blautia
4393741,o__Bacteroidales
4393740,f__[Marinicellaceae]
4393743,f__Pseudomonadaceae
4393742,f__Comamonadaceae
4393745,g__Bacteroides
836008,f__AEGEAN_185
1057334,f__Thermogemmatisporaceae
297038,g__Ruminococcus
220679,g__Paludibacter
165867,f__Hyphomicrobiaceae
2853112,c__ABY1
617066,f__Acidimicrobiaceae
563200,o__SBla14
563202,f__Cohaesibacteraceae
4315100,f__[Mogibacteriaceae]
890073,g__Balneimonas
364712,f__Beijerinckiaceae
4312331,g__KSA1
264998,o__MSBL9
227900,g__Dysgonomonas
295892,g__Ruminococcus
759061,g__Yersinia
1061145,f__Beijerinckiaceae
4475573,o__DS-18
250481,f__Rhodospirillaceae
1140351,p__WPS-2
250484,c__MBGA
62922,f__Xenococcaceae
1072934,f__Acetobacteraceae
816760,g__Agrobacterium
62920,g__Thermosynechococcus
521882,g__Prevotella
62921,g__Gloeobacter
290480,f__Ruminococcaceae
4414752,f__Christensenellaceae
2016098,g__Klebsiella
1038848,f__Xenococcaceae
2016095,s__cloacae
156650,o__Ellin6513
4299195,f__Chitinophagaceae
1107562,f__Thermogemmatisporaceae
4414759,f__Desulfobulbaceae
1097208,s__aureus
260207,g__Ruminococcus
175084,o__Bacteroidales
99384,g__Dechloromonas
4354493,g__Schwartzia
175087,f__Ruminococcaceae
215025,o__p04_C01
4398656,f__Rhodospirillaceae
790567,f__Rhodocyclaceae
301113,g__Arthrobacter
99387,s__lautus
1143913,c__Gemm-3
4398658,f__Koribacteraceae
808907,f__HTCC2089
1810358,g__Rhodocyclus
167426,o__Gemmatimonadales
332236,o__Clostridiales
167420,f__Erysipelotrichaceae
580869,g__Desulfomonile
186242,g__Blautia
2124721,f__Flavobacteriaceae
186248,f__Ruminococcaceae
2352826,f__Synechococcaceae
753378,f__Rhodocyclaceae
4346649,g__Bacillus
299081,f__Ruminococcaceae
1568317,f__auto67_4W
299087,g__Mogibacterium
278433,g__Burkholderia
254021,g__Leuconostoc
106663,g__Thermus
106667,o__d153
370449,o__pGrfC26
156530,o__Flavobacteriales
817418,p__FBP
345756,g__Bacteriovorax
4415086,o__Actinomycetales
202525,f__Chitinophagaceae
828231,g__Hymenobacter
275895,o__Clostridiales
345753,f__Lachnospiraceae
202528,c__ZB2
577032,f__Ulvophyceae
3025741,k__Bacteria
262416,o__Clostridiales
112009,g__Shuttleworthia
4428162,g__SJA-88
572335,f__S24-7
112006,f__Pirellulaceae
346228,f__Halobacteriaceae
4428164,g__Kushneria
648198,g__Iamia
4465255,o__HTCC2188
605803,g__Thiothrix
4465250,g__Bacteroides
3171334,g__Archaeoglobus
248943,f__[Chlorothrixaceae]
83388,g__Dermatophilus
4477789,g__Zoogloea
194508,g__Gluconacetobacter
1145519,g__Spirochaeta
